code	english	definition	translation
878	biological waste gas purification	Processes for removing impurities from waste gas based on the employing of microorganisms.	işlənmiş qazın bioloji təmizlənməsi
879	biological waste treatment	"A generic term applied to processes that use microorganisms to decompose organic wastes either into water, carbon dioxide, and simple inorganic substances, such as aldehydes and acids. The purpose of biological waste treatment is to control either the environment for microorganisms so that their growth and activity are enhanced, and to provide a means for maintaining high concentrations of the microorganisms in contact with the wastes."	tullantıların bioloji utilizasiyası
880	biological weapon	"Living organisms (or infective material derived from them) which are intended to cause disease or death in animals, plants, or man, and which depend for their effects on their ability to multiply in the person, animal or plant attacked. Various living organisms (for example, rickettsiae, viruses and fungi), as well as bacteria, can be used as weapons."	bioloji silah
881	biology	A division of the natural sciences concerned with the study of life and living organisms.	biologiya
882	bioluminescence	"The production of light of various colors by living organisms (e.g. some bacteria and fungi, glow-worms and many marine animals). Luminescence is produced by a biochemical reaction, which is catalyzed by an enzyme. In some animals the light is used as a mating signal; in others it may be a protective device. In deep-sea forms luminous organs may serve as lanterns."	biolüminessensiya
883	biomass	"Biomass refers strictly speaking to the total weight of all the living things in an ecosystem. However, it has come to refer to the amount of plant and crop material that could be produced in an ecosystem for making biofuels and other raw materials used in industry, for example."	biokütlə
885	biomass energy	"A renewable energy source that makes use of such biofuels as methane (biogas) generated by sewage, farm, industrial, or household organic waste materials. Other biofuels include trees grown in so-called ""energy forests"" or other plants, such as sugar cane, grown for their energy potential. Biomass energy relies on combustion and therefore produces carbon dioxide; its use would not, therefore, alleviate the greenhouse effect."	biokütlə enerjisi
888	biophysics	The hybrid science involving the application of physical principles and methods to study and explain the structures of living organisms and the mechanics of life processes.	biofizika
889	bioreactor	"A container, such as a large fermentation chamber, for growing living organisms that are used in the industrial production of substances such as pharmaceuticals, antibodies, or vaccines."	bioreaktor
890	biorhythm	"A cyclically recurring pattern of physiological states in an organism or organ, such as alpha rhythm or circadian rhythm; believed by some to affect physical and mental states and behaviour."	bioritm
891	biosafety	"The combination of knowledge, techniques and equipment used to manage or contain potentially infectious materials or biohazards in the laboratory environment, to reduce or prevent harm to laboratory workers, other persons and the environment."	biotəhlükəsizlik
892	biosphere	That part of the Earth and atmosphere capable of supporting living organisms.	biosfera
894	biosphere reserve	"Protected land and coastal areas that are approved under the Man and Biosphere programme (MAB) in conjunction with the Convention on International Trade in Endangered Species (CITES). Each reserve has to have an ecosystem that is recognized for its diversity and usefulness as a conservation unit. The reserves have at least one core area where there can be no interference with the natural ecosystem. A transition zone surrounds this and within it scientific research is allowed. Beyond this is a buffer zone which protects the whole reserve from agricultural, industrial and urban development. Biosphere reserves and buffer zones were regarded as examples of a new generation of conservation techniques."	biosfer qoruğu
895	biosynthesis	"Production, by synthesis or degradation, of a chemical compound by a living organism."	biosintez
898	biotechnology	"A combination of biology and technology. It is used to describe developments in the application of biological organisms for commercial and scientific purposes. So ""bio"" stands for biology and the science of life, and ""tech"" stands for technology, or the tools and techniques that the biotechnologists have in their workbox. Those tools and techniques include microorganisms and a range of methods for manipulating them, such as genetic engineering."	biotexnologiya
899	biotic factor	"The influence upon the environment of organisms owing to the presence and activities of other organisms, as distinct from a physical, abiotic, environmental factor."	biotik faktor
901	biotope	"A region of relatively uniform environmental conditions, occupied by a given plant community and its associated animal community."	biotop
902	biotope network	Intersection of corridors connecting patchy ecological communities. Species survival tends to be higher in patches that have higher connectivity.	biotoplar sistemi
903	biotope protection	Measures taken to ensure that the biological and physical components of a biotope are in equilibrium by maintaining constant their relative numbers and features.	biotoplatın mühafizəsi
912	bird	Any of the warm-blooded vertebrates which make up the class Aves.	quş
913	bird sanctuary	Special area where birds are protected.	quşlar üçün qoruq
914	bird of prey	Any of various carnivorous bird of the orders Falconiformes and Strigiformes which feed on meat taken by hunting.	yırtıcı quş
915	bird species	Any species of the warm-blooded vertebrates which make up the class Aves.	quş növləri
917	birth control	Limitation of the number of children born by preventing or reducing the frequency of impregnation.	doğuma nəzarət
921	bitumen	"A generic term applied to natural inflammable substances of variable colour, hardness, and volatility, composed principally of a mixture of hydrocarbons substantially free from oxygenated bodies. Bitumens are sometimes associated with mineral matter, the nonmineral constituents being fusible and largely soluble in carbon disulfide, yielding water-insoluble sulfonation products. Petroleum, asphalts, natural mineral waxes, and asphaltites are all considered bitumens."	bitum
926	black coal	"A natural black graphitelike material used as a fuel, formed from fossilized plants and consisting of amorphous carbon with various organic and some inorganic compounds."	qara kömür
930	blast furnace	"A tall, cylindrical smelting furnace for reducing iron ore to pig iron; the blast of air blown through solid fuel increases the combustion rate."	domna sobası
932	bleaching agent	"1) A chemical, such as an aromatic acyl peroxide or monoperoxiphthalic acid, used to bleach flour, fats, oils and other edibles. 
2) An oxidizing or reducing chemical such as sodium hypochlorite, sulfur dioxide, sodium acid sulfite, or hydrogen peroxide."	ağardıcı reagent
933	bleaching clay	"Clay capable of chemically adsorbing oils, insecticides, alkaloids, vitamins, carbohydrates and other materials; it is used for refining and decolorizing mineral and vegetable oils."	ağardıcı gil
934	bleaching process	"1) Removing colored components from a textile. Common bleaches are hydrogen peroxide, sodium hypochloride, and sodium chlorite. 
2) The brightening and delignification of pulp by the addition of oxidizing chemicals such as chlorine or reducing chemicals such as sodium hypochloride."	ağartma prosesi
935	blood (tissue)	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	qan (toxuma)
939	blue-green alga	"Microorganisms, formerly classified as algae but now regarded as bacteria, including nostoc, which contain a blue pigment in addition to chlorophyll."	mavi-yaşıl yosun
945	boating	To travel or go in a boat as a form of recreation.	qayıqçılıq
947	biochemical oxygen demand	The amount of oxygen used for biochemical oxidation by a unit volume of water at a given temperature and for a given time. BOD is an index of the degree of organic pollution in water.	oksigenin biokimyəvi istehlakı
953	boiler	"An enclosed vessel in which water is heated and circulated, either as hot water or as steam, for heating or power."	qazanxana
954	boiling point	The temperature at which the transition from the liquid to the gaseous phase occurs in a pure substance at fixed pressure.	qaynama nöqtəsi
959	book	"A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription."	kitab
961	bookkeeping	The art or science of recording business accounts and transactions.	mühasibat
963	border	The dividing line or frontier between political or geographic regions.	sərhəd
965	boron	A very hard almost colourless crystalline metalloid element that in impure form exists as a brown amorphous powder. It occurs principally in borax and is used in hardening steel.	bor
969	botanical garden	"A place in which plants are grown, studied and exhibited."	botanika bağı
971	botany	A branch of the biological sciences which embraces the study of plants and plant life.	botanika
975	boundary crossing	Crossing of a state border.	sərhədin keçilməsi
976	boundary layer	The layer of fluid adjacent to a physical boundary in which the fluid motion is significantly affected by the boundary and has a mean velocity less than the free stream value.	sərhəd qatı
977	bovid	Any animal belonging to the Bovidae family.	öküz
984	brackish water	"Water, salty between the concentrations of fresh water and sea water; usually 5-10 parts x thousand."	şortəhər su
986	bradyseism	"A long-continued, extremely slow vertical instability of the crust, as in the volcanic district west of Naples, Italy, where the Phlegraean bradyseism has involved up-and-down movements between 6 m below sea level and 6 m above over a period of more than 2.000 years."	bradiseysm
992	breast milk	Milk from the breast for feeding babies.	ana südü
994	breeding	The application of genetic principles to the improvement of farm animals and cultivated plants.	bitki və heyvan yetişdirilməsi
995	breeding bird	The individuals in a bird population that are involved in reproduction during a particular period in a given place.	çoxalma dövründə quş
997	brewing industry	"A sector of the economy in which an aggregate of commercial enterprises is engaged in the manufacture and marketing of beverages made from malt and hops by steeping, boiling and fermentation, such as beer, ale and other related beverages."	pivəbişirmə sənayesi
998	brick	"A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln."	kərpic
1001	bridge	"A structure that spans and provides a passage over a road, railway, river, or some other obstacle."	körpü
1007	bromine	A pungent dark red volatile liquid element of the halogen series that occurs in brine and is used in the production of chemicals.	brom
1014	brooding	To incubate eggs or cover the young for warmth.	yumurta qoyma
1015	brook	"A small stream or rivulet, commonly swiftly flowing in rugged terrain, of lesser length and volume than a creek; especially a stream that issues directly from the ground, as from a spring or seep, or that is produced by heavy rainfall or melting snow."	çay
1020	brushwood	"Woody vegetation including shrubs and scrub trees of non-commercial height and form, often seen in the initial stages of succession following a disturbance. Brush often grows in very dense thickets that are impenetrable to wild animals and serve to suppress the growth of more desirable crop trees. However, brush can also serve an important function as desirable habitat for a range or bird, animal, and invertebrate species, and often provides a good source of browse and cover for larger wildlife. It adds structural diversity within the forest and is important in riparian zones. It is also termed scrub."	kolluq
1023	bryophyte	"Any plant of the division Bryophyta, having stems and leaves but lacking true vascular tissue and roots and reproducing by spores: includes the mosses and liverworts."	briofitlər
1024	bubble policy (emissions trading)	"EPA policy that allows a plant complex with several facilities to decrease pollution from some facilities while increasing it from others, so long as total results are equal to or better than previous limits. Facilities where this is done are treated as if they exist in a bubble in which total emissions are averaged out."	zərərli maddələrin tullanması səviyyəsinin ölçülməsi siyasəti
1025	budget	"A balance sheet or statement of estimated receipts and expenditures. A plan for the coordination of resource and expenditures. The amount of money that is available for, required for, or assigned to a particular purpose."	büdcə
1028	bug	"Any of the suborder Heteroctera, having piercing and sucking mouthparts, specialized as a beak."	taxtabiti
1029	building	"Something built with a roof and walls, such as a house or factory."	tapşırıq
1031	building area	"Land and other places on, under, in or through which the temporary and permanent works are to be executed and any other lands or places needed for the purposes of construction."	tikinti meydançası
1033	building component	A building element which uses industrial products that are manufactured as independent until capable of being joined with other elements.	tikinti elementi
1039	building industry	The art and technique of building houses.	tikinti sənayesi
1041	building land	Area of land suitable for building on.	tikinti üçün torpaq sahəsi
1042	building material	"Any material used in construction, such as steel, concrete, brick, masonry, glass, wood, etc."	tikinti materialı
1044	building materials industry		tikinti materialları sənayesi
1046	building planning	"The activity of designing, organizing or preparing for future construction or reconstruction of edifices and facilities."	tikintinin planlaşdırılması
1049	building regulation		tikinti sahəsində normativ sənəd
1052	building site	A piece of land on which a house or other building is being built.	tikinti meydançası
1054	building site preparation	No definition needed.	tikinti meydançasının hazırlanması
1058	building technology	No definition needed.	tikinti texnologiyası
1059	building waste	Masonry and rubble wastes arising from the demolition or reconstruction of buildings or other civil engineering structures.	tikinti tullantıları
1061	built drainage system	"Collection of open and/or closed drains, together with structures and pumps used to collect and dispose of excess surface or subsurface water."	drenaj sistemi
1063	built environment	"That part of the physical surroundings which are people-made or people-organized, such as buildings and other major structures, roads, bridges and the like, down to lesser objects such as traffic lights, telephone and pillar boxes."	yaradılmış mühit
1064	built structure	"Any structure made of stone, bricks, wood, concrete, or steel, built with a roof and walls, such as a house or factory."	tikili
1065	built-up area	"Area which is full of houses, shops, offices and other buildings, with very little open space."	tikilmiş ərazi
1067	bulb cultivation	"The cultivation of flower bulb is divided into two sectors: for forcing (flower bulbs used by professional growers for the production of cut flowers and potted plants) and for dry sales (flower bulbs for garden planting, flower pots, landscaping and parks)."	soğancıqların yetişdirilməsi
1075	bureaucratisation	"The multiplication of or concentration of power in administrators and administrative offices in an organization, usually resulting in an extension into and regimentation of certain areas of social life."	bürokratizasiya
1082	bus	"A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service."	avtobus
1084	business	"The activity, position or site associated with commerce or the earning of a livelihood."	biznes
1091	butterfly	Any diurnal insect of the order Lepidoptera that has a slender body with clubbed antennae and typically rests with the wings (which are often brightly coloured) closed over the back.	kəpənək
1092	button-cell battery	"A tiny, circular battery made for a watch or for other microelectric applications."	düyməvari elektrik batareyası
1093	by-catch	"Incidental taking of non-commercial species in drift nets, trawling operations and long line fishing; it is responsible for the death of large marine animals and one factor in the threatened extinction of some species."	təsadüfi tutum (dəniz heyvanlarının)
1094	by-product	A product from a manufacturing process that is not considered the principal material.	yan məhsul 
1098	cable	"Strands of insulated electrical conductors laid together, usually around a central core, and wrapped in a heavy insulation."	kabel
1100	cadmium	"One of the toxic heavy metal which has caused deaths and permanent illnesses in a series of major pollution incidents around the world. Cadmium has no useful biological purpose. However, it has wide industrial applications. It has been used for decades in metal plating to prevent corrosion, in rechargeable batteries and as a pigment in certain plastics and paints. Special care is taken in the industrial smelting of ores and subsequent handling of cadmium, because occupational exposure is known to have caused heart, chest and kidney disorders. Environmental health problems have come from exposure to various sources of pollution."	kadmium
1101	cadmium contamination	"The release and presence in the air, water and soil of cadmium, a toxic, metallic element, from sources such as the burning of coal and tobacco and improper disposal of cadmium-containing waste."	kadmium çirklənməsi
1103	caesium	"A soft silvery-white and highly reactive metal belonging to the alkali group of metals. It is a radiation hazard, because it can occur in two radioactive forms. Caesium-134 is produced in nuclear reactors, not directly by fission, but by the reaction. It emits beta- and gamma-radiation and has a half-life of 2.06 years. Caesium-137 is a fission product of uranium and occurs in the fallout from nuclear weapons. It emits beta- and gamma-rays and has a half-life of 30 years. Caesium-137 was the principal product released into the atmosphere, and hence the food chain, from atmospheric testing of nuclear weapons and from the Windscale fire and Chernobyl nuclear accidents. After the Chernobyl accident, which spread a radiation cloud across Europe, the European Commission proposed new and more restrictive limits on levels of caesium in food and drinking water."	sezium
1111	calcium	"A malleable silvery-white metallic element of the alkaline hearth group; the fifth most abundant element in the earth crust, occurring especially as forms of calcium carbonate. It is an essential constituent of bones and teeth and is used as a deoxidizer in steel."	kalsium
1112	calcium content	Amount of calcium contained in a solution.	kalsium tərkibi
1113	calculation method	No definition needed.	hesablama metodu
1114	calibration	To mark the scale of a measuring instrument so that readings can be made in appropriate units.	sazlama
1115	calibration of measuring equipment	"The determination or rectification of, according to an accepted standard, the graduation of any instrument giving quantitative measurements."	ölçmə cihazının sazlanması
1121	camping	Guarded area equipped with sanitary facilities where holiday-makers may pitch a tent and camp by paying a daily rate.	kempinq
1123	camping site	"A piece of land where people on holiday can stay in tents, usually with toilets and places for washing."	kempinq üçün ərazi
1126	canal	"An artificial open waterway used for transportation, waterpower, or irrigation."	kanal
1130	cancer	"Any malignant cellular tumour including carcinoma and sarcoma. It encompasses a group of neoplastic diseases in which there is a transformation of normal body cells into malignant ones, probably involving some change in the genetic material of the cells, possibly as a result of faulty repair of damage to the cell caused by carcinogenic agents or ionizing radiation."	xərçəng
1133	cancer risk	The probability that exposure to some agent or substance will adversely transform cells to replicate and form a malignant tumor.	onkoloji xəstəlik riski
1134	canid	"Carnivorous mammal in the superfamily Canoidea, including dogs and their allies."	itkimilər
1148	car	"A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine."	avtomobil sənayesi
1159	carbohydrate	"Any of the group of organic compounds composed of carbon, hydrogen and oxygen, including sugars, starches and celluloses."	karbohidrat
1160	carbon	"A nonmetallic element existing in the three crystalline forms: graphite, diamond and buckminsterfullerene: occurring in carbon dioxide, coal, oil and all organic compounds."	karbon
1162	carbonate	A salt or ester of carbonic acid.	karbonat
1164	carbon cycle	"The cycle of carbon in the biosphere, in which plants convert carbon dioxide to organic compounds that are consumed by plants and animals, and the carbon is returned to the biosphere in inorganic form by processes of respiration and decay."	karbon dövriyyəsi
1168	carbon dioxide	"A colourless gas with a faint tingling smell and taste. Atmospheric carbon dioxide is the source of carbon for plants. As carbon dioxide is heavier than air and does not support combustion, it is used in fire extinguishers. It is a normal constituent of the atmosphere, relatively innocuous in itself but playing an important role in the greenhouse effect. It is produced during the combustion of fossil fuels when the carbon content of the fuels reacts with the oxygen during combustion. It is also produced when living organisms respire. It is essential for plant nutrition and in the ocean phytoplankton is capable of absorbing and releasing large quantities of the gas."	karbon dioksid
1170	carbon dioxide tax	"Compulsory charges levied on fuels to reduce the output of carbon dioxide (CO2), which is a colourless and odourless gas substance that is incombustible."	karbon dioksidin tullanması üçün vergi
1173	carbon monoxide	"Colorless, odourless, tasteless, non-corrosive, highly poisonous gas of about the same density as that of air. Very flammable, burning in air with bright blue flame. Although each molecule of CO has one carbon atom and one oxygen atom, it has a shape similar to that of an oxygen molecule (two atoms of oxygen), which is important with regard to it's lethality."	"karbon monoksid, dəm qazı"
1177	carcass disposal	"The disposal of slaughtered animals, other dead animal bodies and animal body parts after removal of the offal products."	heyvan cəsədlərinin utilizasiyası
1180	carcinogenicity	The ability or tendency of a substance or physical agent to cause or produce cancer.	kanserogenlik
1181	carcinogenicity test	"Test for assessing if a chemical or physical agent increases the risk of cancer. The three major ways of testing for carcinogens are animals tests, epidemiological studies and bacterial tests."	kanserogenlik riski
1182	carcinogen	A substance that causes cancer in humans and animals.	kanserogen
1184	cardiology	The study of the heart.	kardiologiya
1185	cardiovascular disease		ürək-damar xəstəlikləri
1190	Caribbean Area	"A geographical region bordered on the south by South America and Panama, and on the west by Central America, and consisting of the West Indian, and nearby, islands and the Caribbean Sea, a part of the western Atlantic Ocean."	Karib bölgəsi
1191	carnivore	An animal that eats meat.	ətyeyən
6064	pathogenic organism	Agents producing or capable of producing disease.	patogen orqanizm
6065	pathologic effect		patoloji effekt
6066	pathology	"The branch of medicine concerned with the causes, origin, and nature of disease, including the changes occurring as a result of disease."	patologiya
6068	pattern of urban growth	"The combination of acts, tendencies and other observable characteristics that demonstrates a municipal area's progress or state of development, including its population trends."	şəhərin inkişaf modeli
6081	peat	Unconsolidated soil material consisting largely of undecomposed or slightly decomposed organic matter accumulated under conditions of excessive moisture.	torf
6084	peat extraction	"Peat is obtained from peat bogs by cutting it from the earth; it is then formed into briquettes, which can be used as fuel. Peat may be found in layers several metres thick. In some countries peat-fired generating stations for electricity are in use. Peat is also used as a soil conditioner."	torf hasilatı
6092	pedestrian zone	Area where vehicles are not allowed.	piyada zonası
6094	pedosphere	That shell or layer of the Earth in which soil-forming processes occur.	pedosfera
6102	penalty for environmental damage	"Punishment, varying from fines to withdrawal of government funds to economic sanctions, which is imposed for the harm or injury done to natural resources."	ətraf mühitə vurulmuş ziyana görə cərimə
6103	penalty	"1) A punishment for a crime.
2) A sum specified in a contract as payable on its breach but not constituting a genuine estimate of the likely loss."	cərimə
6106	pentachlorophenol	"One of the universally toxic phenolic compounds, is a general purpose agent that is used as a fungicide, herbicide and molluscicide, particularly in Egypt where it is used to control snails that carry the larval human blood flukes that cause schistosomiasis. It is also used in wood preservatives and is very poisonous."	pentaxlorofenol
6107	per capita data	No definition needed.	adambaşına statistik məlumatlar
6109	perchloroethylene	"Stable, colorless liquid, nonflammable and nonexplosive, with low toxicity; used as a dry-cleaning and industrial solvent, in pharmaceuticals and medicines, and for metal cleaning."	perxloretilen
6111	percolating water	"Subsurface water that passes, under the force of gravity, through rocks or soil along the line of least resistance."	filtrdən keçmiş su
6115	periphyton	A plant or animal organism which is attached or clings to surfaces of leaves or stems of rooted plants above the bottom stratum.	perifiton
6118	permafrost ecosystem	The interacting system of the biological communities and their nonliving environmental surroundings in a climatic region where the subsoil is perennially frozen.	daimi donmanın ekosistemi
6120	permeability	The ability of a membrane or other material to permit a substance to pass through it.	su buraxma qabiliyyəti
6123	permissible exposure limit	An exposure limit that is set for exposure to an hazardous substance or harmful agent and enforced by OSHA (Occupational Safety and Health Act) as a legal standard. It is based on time-weighted average concentrations for a normal 8-hour work day and 40 hour work week.	təsirin yol verilən səviyyəsi
6124	permission	"The license, formal consent or authorization to act on some matter, frequently validating the action as lawful or procedurally correct."	icazə
6128	peroxyacetylnitrate	A pollutant created by the action of sunlight on hydrocarbons and nitrogen oxides in the air. An ingredient of smog.	peroksilasetilnitrat
6129	persistence	"The capacity of a substance to remain chemically stable. This is an important factor in estimating the environmental effects of substances discharged into the environment. Certain toxic substances (e.g., cyanides) have a low persistence, whereas other less immediately toxic substances (e.g., many organochlorines) have a high persistence and may therefore produce more serious effects."	kimyəvi ətalət
6131	persistence of pesticides	"The ability of a chemical to retain its molecular integrity and hence its physical, chemical, and functional characteristics in the environment through which such a chemical may be transported and distributed for a considerable period of time."	pestisidlərin ətaləti
6133	personal responsibility		şəxsi məsuliyyət
6138	pest	"Any organism that damages crops, injures or irritates livestock or man, or reduces the fertility of land."	zərərverici
6139	pest control	Keeping down the number of pests by killing them or preventing them from attacking.	zərərvericilərə nəzarət
6140	pesticide	"A general term for chemical agents that are used in order to kill unwanted plants, animals pests or disease-causing fungi, and embracing insecticides, herbicides, fungicides, nematicides, etc. Some pesticides have had widespread disruptive effects among non-target species."	pestisid
6143	pesticide control standard	"A norm or measure applicable in legal cases pertaining to the production, dissemination or use of substances designed to mitigate or eliminate insects or small animals that harm vegetation."	pestisidlərə nəzarət standartları
6144	pesticide pathway	"The specific or known route or vector of any chemical substance released into the environment to prevent, destroy or mitigate any pest that is directly or indirectly detrimental to harvest crops and other human interests."	pestisidlərin hərəkəti
6146	residual pesticide	"A pesticide remaining in the environment for a fairly long time, continuing to be effective for days, weeks, and months."	pestisidlərin qalıq miqdarı
6149	pest infestation	"1) The occurrence of one or more pest species in an area or location where their numbers and impact are currently or potentially at intolerable levels. 
2) A sudden increase in destructiveness or population numbers of a pest species in a given area."	zərərvericilərin invaziyası
6152	pet	An animal which is kept in the home as a companion and treated affectionately.	ev heyvanı
6154	petrochemical industry	The production of materials derived from petroleum or natural gas.	neft-kimya sənayesi
9301	wet waste	"Organic refuse or material left over from a manufacturing process, which is characterized by the presence of moisture."	maye tullantılar
9302	whale	"Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures."	balina
9305	whaling	"Catching whales to use as food or for their oil, etc. Whales are the largest mammals still in existence. They are caught mainly for their oils, though in some case for food. Some species of whale have become extinct because of overexploitation and the population of many of the existing species is dangerously low. Commercial whaling is severely restricted."	balina ovu sənayesi
9308	wholesale trade	The business of selling goods to retailers in larger quantities than they are sold to final consumers but in smaller quantities than they are purchased from manufacturers.	topdansatış ticarəti
9310	wild animal	Not domesticated animals living independently of man.	vəhşi heyvan
9313	wildlife	"Animals and plants that grow independently of people, usually in natural conditions."	vəhşi təbiət
9314	wildlife conservation	A series of measures required to maintain or restore the natural habitats and the populations of species of wild fauna and flora at a favourable status.	vəhşi təbiətin qorunması
9315	wildlife habitat	Suitable upland or wetland areas promoting survival of wildlife.	vəhşi heyvanların yaşayış məskəni
9318	wildlife population statistics	"The numerical facts or data collected through various methodologies, such as sighting surveys, which represent or estimate the size of any wildlife species for purposes such as analyzing population trends."	vəhşi heyvan populyasiyalarının statistikası
9321	wildlife sanctuary	"1) An area, usually in natural condition, which is reserved (set aside) by a governmental or private agency for the protection of particular species of animals during part or all of the year. 
2) An area designated for the protection of wild animals, within which hunting and fishing is either prohibited or strictly controlled."	vəhşi təbiət qoruğu
9322	running wild	"A state of nature or a quality or state of being undomesticated, untamed or uncultivated."	vəşhi təbiət şəraitində
9323	wild plant	Plants growing in a natural state (not cultivated).	yabanı bitki
9324	willingness-to-pay		pul ödəmə niyyəti (pul ödəməyə hazırlıq)
9325	willingness-to-pay analysis		pul ödəməyə hazırlığın təhlili
9327	wind	"The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion."	külək
9330	wind erosion	"The breakdown of solid rock into smaller particles and its removal by wind. It may occur on any soil whose surface is dry, unprotected by vegetation (to bind it at root level and shelter the surface) and consists of light particles. The mechanisms include straightforward picking up of dust and soil particles by the airflow and the dislodging or abrasion of surface material by the impact of particles already airborne."	külək eroziyası
9331	windmill	A machine for grinding or pumping driven by a set of adjustable vanes or sails that are caused to turn by the force of the wind.	yel dəyirmanı
9335	wind power	"Energy extracted from wind, traditionally in a windmill, but increasingly by more complicated designes including turbines, usually to produce electricity but also for water pumping. The power available from wind is proportional to the area swept by the rotating place and the cube of the wind velocity, but less than half the available power can be recovered."	külək enerjisi
9336	wind power station	Power station which uses wind to drive a turbine which creates electricity.	külək enejisindən istifadə edən elektrik stansiyası
9344	woman	An adult human female.	qadın
9347	woman's status	"The social position, rank or relative importance of women in society."	"qadınların statusu, qadınların vəziyyəti"
9348	timber	"A wood, especially when regarded as a construction material."	meşə (material)
9349	wood	A dense growth of trees more extensive than a grove and smaller than a forest.	meşə
9352	woodland clearance	"The permanent clear-felling of an area of forest or woodland. On steep slopes this can lead to severe soil erosion, especially where heavy seasonal rains or the melting of snow at higher levels cause sudden heavy flows of water. In the humid tropics it may also lead to a release of carbon dioxide from the soil."	ağacların kəsilməsi
9353	woodland ecosystem	The interacting system of a biological community and its non-living environmental surroundings in wooded areas or land areas covered with trees and shrubs.	meşə ekosistemi
9356	wood preservation	"The use of chemicals to prevent or retard the decay of wood, especially by fungi or insects; widely used preservatives include creosote, pitch, sodium fluoride and tar; especially used on wood having contact with the ground."	meşə ehtiyatlarının (ağac materiallarının) mühafizəsi
9358	wood product	No definition needed.	ağac məmulatları
9362	wood waste	Waste which is left over after the processing of raw timber.	ağac tullantıları
9363	wool	"A textile fiber made from raw wool characterized by absorbency, resiliency and insulation."	yun
9366	work accident	Accident occurring in the course of the employment and caused by inherent or related factors arising from the operation of materials of one's occupation.	istehsalatda qəza
9367	worked-out open cut	A mine where all the mineral that could be profitably exploited has been removed.	tərk edilmiş şaxta
9369	working condition	"All existing circumstances affecting labor in the workplace, including job hours, physical aspects, legal rights and responsibilities."	iş şəraiti
9371	working hours	"The time devoted to gainful employment or job-related activities, usually calculated as hours per day or per week."	iş saatları
9373	working the soil	Ploughing the soil for agricultural purposes.	torpağın emalı
12390	wreck	The hulk of a wrecked or stranded ship; a ship dashed against rocks or land and broken or otherwise rendered useless.	məhv olmuş gəmilərin qalıqları
12394	mineral oil	Oil which derives from petroleum and is made up of hydrocarbons.	mineral yağ
12395	whey	"The watery liquid that separates from the curd when the milk is clotted, as in making cheese."	zərdab
12417	sinking of waste	A manner of waste disposal in which refuse or unwanted material is dumped or submerged beneath the surface of a body of water.	tullantıların suda basdırılması
12429	residue of grinding	Dust or other residue left after reducing a material to very small particles.	materiaılların xirdalanması-hamarlanması prosesinin qalıqları
12430	treatment residue	Material left over from the treatment of any type of waste.	tullantıların emalından sonrakı qalıqlar
12431	incineration residue	"Any material, solid or semisolid, left after processing in a device designed to reduce waste volume by combustion."	tullantıların yandırılmasından sonrakı qalıqlar
12435	clearing sludge		çökmüş lil
12436	dehydrated sludge	Sludge whose water content has been reduced by physical means.	qurudulmuş lil
12441	residual waste sludge	"The excess, unusable semi-solids or sediment resulting from a wastewater treatment or industrial process."	tullantı sularından qalan lil
12444	thickening	Any process beyond gravity sedimentation that increases the concentration of solids in sludge with or without the use of chemical flocculants.	qatılaşma
12446	sludge stabilisation	"Usually anaerobic sludge digestion, a treatment that stabilizes raw sludge. Fully digested sludge has little readily biodegradable organic matter. It is not smelly and about 50% of the solids are inorganic. Sludge can also be digested aerobically."	lilin sabitləşdirilməsi
12450	industrial activity	"Operations, functions and processes involved in industrial production."	sənaye fəaliyyəti
12456	industrial wasteland	Area of land which is no longer usable for cultivation or for any other purpose after having been the site of an industrial plant.	tərk edilmiş sənaye ərazisi
12459	classified facility	Facility that is forbidden to be disclosed outside a specified ring of secrecy for reasons of national security.	rejim obyekti
12471	quartering	The act of dismembering the carcass of an animal with the production of organic waste which if improperly disposed cause problems of pollution and fawl smells.	heyvan cəmdəklərinin emalı
12476	piggery	A place where pigs are kept and reared.	donuzçuluq təsərrüfatı
12482	oil production (chain)	"The petroleum industry is a complex industry utilizing complex combination of interdependent operations engaged in the storage and transportation, separation of crude molecular constituents, molecular cracking, molecular rebuilding and solvent finishing to produce petrochemical products. Treatment may involve oil separation, precipitation, adsorption, and biological treatment. The refining operations can be divided into four major steps: separation, conversion, treating, and blending. The crude oil is first separated into selected fractions (gasoline, kerosine, fuel oil, etc.). Some of the less valuable products such as heavy naphtha, are converted to products with a greater sale value such as gasoline. The final step is the blending of the refined base stocks with each other and various additive to meet final product specifications. The major pollutants emitted are sulphur oxides, nitrogen oxides, hydrocarbons, carbon monoxide, and malodorous materials."	neft istehsalı
12485	hydrocarbon storage tank	A container or a reservoir for the storage of hydrocarbons.	karbohidrat materialları anbarı
12488	drilling for oil	Boring a hole for extracting oil.	neft quyularının qazılması
