code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
1516	coastal ecosystem	"Marine environments bounded by the coastal land margin (seashore) and the continental shelf 100-200 m below sea level. Ecologically, the coastal and nearshore zones grade from shallow water depths, influenced by the adjacent landmass and input from coastal rivers and estuaries, to the continental shelf break, where oceanic processes predominate. Among the unique marine ecosystems associated with coastal and nearshore waterbodies are seaweed-dominated communities, coral reefs and upwellings."	النظام الإيكولوجي للسواحل	"بيئات بحرية يحدها الهامش الأرضي الساحلي (الشاطئ) والجرف القاري بعمق 100-200 متر تحت سطح البحر. من الناحية الإيكولوجية، تتدرج المناطق الساحلية والقريبة من الساحل من الأعماق الضحلة، حيث تتأثر بالكتلة الأرضية المجاورة لها وما يصل إليها من الأنهار والمصاب الساحلية، إلى حافة الجرف القاري حيث تسود تأثيرات العمليات البحرية. ومن النظم الإيكولوجية البحرية الفريدة المرتبطة بالأجسام المائية الساحلية والقريبة من الساحل المجتمعات التي تغلب عليها الأعشاب البحرية والشعاب المرجانية وارتفاع مياه القاع بفعل تيارات الحمل.  "				
1517	coastal environment	"The areas where the land masses meet the seas. Coastal environments include tidal wetlands, estuaries, bays, shallow near-shore waters, mangrove swamps, and in-shore reef systems. The critical habitats of these zones are: feeding, breeding, nursery, and resting areas. Coastal areas throughout the world are under enormous environmental stress, which is caused by a wide range of factors, including pollution and the destruction and deterioration of marine habitats."	البيئة الساحلية	منطقة تلتقي عندها الكتل الأرضية بالبحر. وتتضمن البيئات الساحلية أراضي المد والجزر الرطبة ومصاب الأنهار والخلجان والمياه الضحلة القريبة من الشطآن ومستنقعات المنجروف ونظم الشعاب المرجانية الشاطئية. وتشتمل المواطن الحيوية المهمة في هذه المناطق على أماكن التغذية والتكاثر وحضانة الصغار والاستراحة. وتتعرض المناطق الساحلية حول العالم لضغوط بيئية هائلة ناجمة عن مجموعة كبيرة من العوامل مثل التلوث وتدمير المواطن الطبيعية البحرية وتدهورها.				
1519	coastal erosion	The gradual wearing away of material from a coast by the action of sea water.	تآكل السواحل	التآكل التدريجي للمادة التي يتكون منها الساحل بفعل مياه البحر.				
1520	coastal fishing	Fishing in an area of the sea next to the shoreline.	الصيد الساحلي	الصيد في منطقة من البحر تجاور خط الساحل.				
1523	coastal pollution	"The presence, release or introduction of polluting substances in or onto the seashore or the land near it."	تلوث السواحل	وجود مواد ملوثة أو إطلاقها أو جلبها إلى الساحل أو الأرض القريبة منه.				
1526	coastal water	"Coastal waters are typically characterized by a shallow continental shelf, gently sloping seaward to a continental slope, which drops relatively abruptly to the deep ocean. The proximity of coastal water to land also influences the water circulation. In the vicinity of freshwater inflows, the nearshore circulation is altered by the presence of density-driven motions. Coastal waters are under enormous environmental stress, caused by a wide range of factors including pollution and the destruction and deterioration of marine habitats."	مياه ساحلية	تتسم المياه الساحلية عادة بوجود جرف قاري ضحل ينحدر انحدارا طفيفا باتجاه البحر نحو منحدر قاري ينتهي بدوره إلى حافة مفاجئة نسبيا تفضي للمحيط العميق. ويؤثر قرب المياه الساحلية من الأرض على حركة الماء. فعلى مقربة من تيارات المياه العذبة المتدفقة للمباه الساحلية تتغير حركة الماء قرب الساحل بفعل اختلاف الكثافات المائية. وتتعرض المياه الساحلية لضغوط بيئية هائلة ناجمة عن مجموعة كبيرة من العوامل مثل التلوث وتدمير المواطن الطبيعية البحرية وتدهورها. 				
1527	coastal zone planning	"The objective of coastal management and planning is the preservation of coastal resources whilst simultaneously satisfying the sometimes conflicting interests and requirements of protection, development, usage and conservation."	تخطيط المناطق الساحلية	تهدف إدارة المناطق الساحلية وتخطيطها إلى الحفاظ على الموارد الساحلية وفي الوقت نفسه تلبية مصالح ومتطلبات الحماية والتنمية والاستخدام والحفاظ على البيئة والتي قد تكون متضاربة في بعض الأحيان				
1528	coastguard	"A maritime force which aids shipping, saves lives at sea, prevents smuggling, etc. It also responds to emergencies involving oil spills and other discharges at sea and takes the lead in enforcing the law, including assessing penalties for environmental violations."	خفر السواحل	"قوة بحرية تعمل على مساعدة حركة السفن وإنقاذ الأرواح في البحر ومنع التهريب، إلخ. كما تتعامل مع الطوارئ المتعلقة بانسكاب النفط وغيره من المخلفات في البحر، وتأخذ زمام المبادءة لتنفيذ القانون بما في ذلك تقييم العقوبات المتعلقة بالمخالفات البيئية."				
1530	coating	"A material applied onto or impregnated into a substrate for protective, decorative, or functional purposes. Such materials include, but are not limited to, paints, varnishes, sealers, adhesives, thinners, diluents, and inks."	تكسية	"مادة توضع على طبقة تحتية أساسية أو تحقن فيها للحماية أو الزينة أو لأغراض أخرى وظيفية. وتتضمن هذه المواد، لكنها لا تقتصر على، الدهانات والورنيش واللحامات والمواد اللاصقة والمواد المخففة والمرققة والأحبار."				
1532	cobalt	A metallic element used chiefly in alloys.	الكوبالت	عنصر فلزي يستخدم أساسا في صنع السبائك.				
1533	cockroach	"The most primitive of the living winged insects. It is thought they have been unchanged for more than 300 million years, and are among the oldest fossil insects. Cockroaches are usually found in tropical climates, but a few species, out of the total 3.500 known species, have become pests. They are common household pests in many countries, imported by ship and carried home in grocery bags. Cockroaches eat plant and animal products, including food, paper, clothing and soiled hospital waste, fouling everything they touch with their droppings and unpleasant odour, to which many people are allergic. They are a major health hazard and carry harmful bacteria, protozoan parasites and faunal pathogens, including those that cause typhoid, leprosy and salmonella. Conventional insecticides make little or no impact on the cockroaches population."	صرصار - صرصور	"أكثر الحشرات المجنحة الحية بدائية. يعتقد أنها ظلت على حالها دون تغيير لأكثر من 300 مليون سنة، وتعد من أقدم الحشرات الأحفورية. وتوجد الصراصير عادة في المناخات المدارية، لكن أنواعا قليلة منها من إجمالي 3500 نوع معروف أصبحت آفات. وهي من الآفات المنزلية الشائعة في كثير من البلدان حيث تصل إليها عن طريق السفن وتحمل إلى المنازل في عبوات الخضراوات. تأكل الصراصير المنتجات النباتية والحيوانية بما في ذلك الأغذية والورق والملابس ومخلفات المستشفيات المتسخة وتسبب اتساخ أي شيء تلمسه بسبب إخراجها ورائحتها المنفرة، التي تسبب الحساسية للكثيرين من الناس. وتعتبر خطرا كبيرا على الصحة حيث تحمل أنواعا ضارة من البكتيريا والطفيليات الأولية والممرضات النباتية، منها ما يسبب التيفود والبرص والسلمونيلا. وليس للمبيدات الحشرية التقليدية تأثير على أعداد الصراصير إلا لماما. "				
1536	chemical oxygen demand	The quantity of oxygen used in biological and non-biological oxidation of materials in water; a measure of water quality.	الأكسجين الكيميائي المطلوب	كمية الأكسجين المستخدم في الأكسدة الحيوية أو اللاحيوية للمواد في المادء. مقياس لجودة الماء.				
1541	code of practice	"A systematic collection of procedures outlining the established method of application of all relevant laws, rules or regulations to a specific endeavor."	اللائحة التنفيذية	مجموعة منظمة من الإجراءات التي توضح المنهج المعتمد لتطبيق كافة القوانين أو القواعد أو اللوائح ذات الصلة في إطار عمل معين.				
1542	code	"A systematic collection, compendium or revision of laws, rules, or regulations. A private or official compilation of all permanent laws in force consolidated and classified according to subject matter. Many states have published official codes of all laws in force, including the common law and statutes as judicially interpreted, which have been compiled by code commissions and enacted by the legislatures."	لائحة	"مجموعة منظمة أو سجل شامل أو منقح للقوانين أو القواعد أو اللوائح. مجموعة خاصة أو رسمية لكل القوانين الدائمة المطبقة مجمعة ومرتبة حسب الموضوع. كثير من البلدان لها لوائح منشورة بجميع القوانين والقوانين الأساسية حسب تفسيرها القانوني، جمعتها لجان قانونية وتطبقها الهيئات التشريعية."				
1548	coelenterate	"Animals that have a single body cavity (the coelenteron). The name was formerly given to a phylum comprising the Cnidaria and Ctenophora, but these are now regarded as phyla in their own right, and the name Coelenterata has fallen from use, although it is sometimes used as a synonym for Cnidaria."	اللاحشويات - المجوفات	"حيوانات ذات تجويف واحد داخل أجسامها. وكانت هذه التسمية  تطلق فيما مضى على شعبة تضم اللّاسعات والمشطيات معا، لكنة كلا منهما الآن تعد شعبة قائمة بذاتها، ولم تعد تسمية اللاحشويات او المجوفات تستعمل اليوم على الرغم من أنها تستخدم أحيانا كمرادف للّاسعات."				
1550	cogeneration	"Usually the generation of heat in the form of steam, and the generation of power in the form of electricity. Combined heat and power plants are able to convert a much higher proportion of the energy in fuel into final output. The steam produced may be used through heat exchangers in a district heating scheme, while the electricity provides lighting and power."	التوليد المشترك	"يقصد بالتوليد المشترك عادة توليد الحرارة في صورة بخار، مع توليد الطاقة في صورة كهرباء. وتستطيع محطات الحرارة والطاقة المشتركة تحويل قدر أكبر كثيرا من الطاقة الموجودة في الوقود إلى الناتج النهائي، حيث إن البخار المتولد يمكن استخدامه في المبادلات الحرارية في نظام التدفئة في منطقة معينة، بينما توفر الكهرباء الإنارة والطاقة."				
1553	co-incineration	"Joint incineration of hazardous waste, in any form, with refuse and/or sludge."	الحرق المشترك	ترميد المخلفات الخطرة أيا كانت صورتها مع العادم و/أو الطين. 				
1554	coke	"A coherent, cellular, solid residue remaining from the dry distillation of a coking coal or of pitch, petroleum, petroleum residue, or other carbonaceous materials; contains carbon as its principal constituent."	الكوك	بقايا صلبة خلوية متماسكة متخلفة عن التقطير الجاف لفحم التكويك أو القطران أو البترول أو المخلفات البترولية أو غير ذلك من المواد المتكربنة. تحتوي على الكربون كمكون أساسي لها.				
1556	cold	No definition needed.	بارد	لا يحتاج إلى تعريف.				
1559	cold zone ecosystem	The interacting system of a biological community and its non-living environmental surroundings located in climatic regions where the air temperature is below 10° Celsius for eight to eleven months of the year.	النظام الإيكولوجي للمناطق الباردة	نظام التفاعل بين مجتمع بيولوجي والبيئة غير الحية المحيطة به في منطقة مناخية تقل فيها درجة حرارة الجو عن 10 درجات مئوية لمدة ثمانية أو عشرة أشهر في السنة.				
1561	coliform bacterium	A group of bacteria that are normally abundant in the intestinal tracts of human and other warm-blooded animals and are used as indicators (being measured as the number of individuals found per millilitre of water) when testing the sanitary quality of water.	الأحياء البكتيرية الدقيقة	مجموعة من البكتيريا التي تكثر عادة في القنوات المعوية للإنسان وغيره من الحيوانات ذات الدم الحار وتستخدم كمؤشر (وتقاس بعدد الأفراد الموجودة منها في ملليمتر واحد من الماء) عند اختبار مدى السلامة الصحية للماء.				
1567	colloid	"An intimate mixture of two substances, one of which, called the dispersed phase, is uniformly distributed in a finely divided state through the second substance, called the dispersion medium."	غَرَوي	"مزيج من مادتين مخلوطتين جيدا، إحداهما وتسمى المادة في الحالة المتشتتة موزعة توزيعا منتظما في حالة مفككة في صورة مكونات دقيقة خلال المادة الثانية التي تسمى وسط التشتت."				
1568	colloidal state	"A system of particles in a dispersion medium, with properties distinct from those of a true solution because of the larger size of the particles. The presence of these particles can often be detected by means of the ultramicroscope."	حالة غروية	"نظام للجزيئات الموجودة في وسط للتشتت، يتميز بخواص تحتلف عن خواص الجزيئات الموجودة في محلول حقيقي بسبب كبر حجم الجزيئات. ويمكن الكشف عن وجود هذه الجزيئات غالبا بواسطة المجهر فائق التكبير."				
1569	colonisation	The successful invasion of a new habitat by a species.	استعمار	نجاح نوع من الأنواع الحية في غزو موطن حيوي جديد.				
1570	colourimetry	"Any technique by which an unknown colour is evaluated in terms of standard colours; the technique may be visual, photoelectric or indirect by means of spectrophotometry."	مقياس الألوان	"أي أسلوب لتقييم لون غير معروف بالنسبة للألوان المتعارف عليها، وقد يعتمد على النظر أو التحليل الكهربي أو التحليل الطيفي الضوئي."				
1571	colour	"An attribute of things that results from the light they reflect, transmit, or emit in so far as this light causes a visual sensation that depends on its wavelengths."	لون	خاصية للأشياء تنجم عن الضوء الذي تعكسه أو تنقله أو تبعثه بقدر ما يؤدي ذلك الضوء إلى إثارة الحس البصري حسب طوله الموجي.				
1574	combination effect	A combined effect of two or more substances or organisms which is greater than the sum of the individual effect of each.	تأثير الاندماج	تأثير مشترك لمادتين أو كائنين أو أكثر يفوق مجموع التأثير الفردي لكل منهما.				
1575	combined cycle-power station	"This type of plant is flexible in response and can be built in the 100-600 MW capacity range. It produces electrical power from both a gas turbine (ca. 1300°C gas inlet temperature), fuelled by natural gas or oil plus a steam turbine supplied with the steam generated by the 500°C exhaust gases from the gas turbine. The thermal efficiency of these stations is ca. 50 per cent compared with a maximum of 40 per cent from steam turbine coal fired power stations. This type of plant can be built in two years compared with six years for a coal-fired station and 10-15 years for nuclear."	محطة كهرباء ذات دورة مركبة	"يتميز هذا النوع من المحطات بمرونة الاستجابة ويمكن بناؤه بقدرة تتراوح بين 100-600 ميجاوات. ويولد الطاقة الكهربية من التوربينات الغازية (درجة حرارة إدخال الغاز نحو 1300 مئوية) التي تستخدم الغاز الطبيعي أو النفط وقودا لها إلى جانب التوربينات البخارية التي تعمل بالبخار المتولد عن غازات العادم المنبعثة من التوربين الغازي والتي تصل حرارتها إلى 500 مئوية. وتبلغ الفعالية الحرارية لهذه المحطات نحو 50 بالمئة بالمقارنة بأقصى قدرة لمحطات الطاقة التي تعمل بتوربيات بخارية تستخدم الفحم كوقود (القدرة نحو 40 بالمئة). ويمكن بناء هذا النوع من المحطات في غضون عامين، بينما يستغرق بناء المحطات التي تعمل بالفحم ستة أعوام، والمحطات النووية 10-15 عاما."				
1576	combined waste water	A mixture of domestic or industrial wastewater and surface runoff.	مياه صرف مختلطة	مزيج من ماء الصرف المتخلف عن الاستخدامات المنزلية او الصناعية ومن فيض الماء السطحي.				
1578	combustibility	The property of a substance of being capable of igniting and burning.	القابلية للاحتراق	خاصية في المادة تجعلها قابلة للاشتعال أو الاحتراق.				
1582	combustion engine	An engine that operates by the energy of combustion of a fuel.	محرك احتراق	محرك يعمل بالطاقة المتولدة عن احتراق وقود.				
1583	combustion gas	"The exhaust gas from a combustion process. It may contain nitrogen oxides, carbon oxides, water vapour, sulfur oxides, particles and many chemical pollutants."	غاز احتراق	غاز العادم الناجم عن عملية الاحتراق. وقد يحتوي على أكاسيد النيتروجين وثاني أكسيد الكربون وبخار الماء وأكاسيد الكبريت وجزيئات أخرى وغيرها من الملوثات الكيميائية.				
1584	combustion residue	"A residual layer of ash on the heat-exchange surfaces of a combustion chamber, resulting from the burning of fuel."	مخلفات الاحتراق	"طبقة من الرماد متخلفة على أسطح التبادل الحراري في غرفة احتراق، وتنجم عن حرق الوقود."				
1588	commercialisation	"Holding or displaying for sale, offering for sale, selling, delivering or placing on the market in any other form."	التتجير - الطرح في السوق	وضع أو عرض أشياء من أجل البيع؛ طرحها للبيع؛ بيعها؛ توصيل شيء للسوق أو وضعه فيه بأي شكل آخر من الأشكال.				
1590	commercial law	"The whole body of substantive jurisprudence applicable to the rights, intercourse and relations of persons engaged in commerce, trade or mercantile pursuits."	القانون التجاري	مجموعة الأحكام القانونية الموضوعية التي تسري على الحقوق والمعاملات والعلاقات بين الأشخاص المتعاملين بالتجارة أو البيع والشراء أو الأغراض التجارية.				
1591	commercial noise	Noise emitted from commercial activities.	الضوضاء الناجمة عن النشاط التجاري	الضوضاء المنبعثة من الأنشطة التجارية.				
1594	commercial traffic	The operations and movements related to the transportation and exchange of goods.	النقل التجاري	العمليات والتحركات المتعلقة بنقل وتبادل السلع.				
1595	commercial vehicle	Vehicle designed and equipped for the transportation of goods.	مَركَبة تجارية	مركبة مصممة ومعدة لنقل السلع.				
1596	trade waste	"All types of waste generated by offices, restaurants, shops, warehouses and other such non-manufacturing sources, and non-processing waste generated at manufacturing facilities such as office and packaging waste."	مخلفات النشاط التجاري	"جميع أنواع المخلفات التي تتولد عن المكاتب والمطاعم والمحال والمخازن وغيرها من المصادر غير الصناعية، والمخلفات غير الصناعية الناجمة عن المنشآت الصناعية مثل مخلفات المكاتب أو عمليات التغليف."				
1600	common agricultural policy	"The set of regulations and practices adopted by member countries of the European Community that consolidates efforts in promoting or ensuring reasonable pricing, fair standards of living, stable markets, increased farm productivity and methods for dealing with food supply or surplus."	سياسة زراعية مشتركة					
1601	common agreement	"A system of law established by following earlier judicial decisions and customs, rather than statutory or legislatively enacted law."	اتفاقية مشتركة	"نظام قانوني موضوع عن طريق اتباع أحكام قانونية وأعراف سابقة، بدلا من القوانين المفروضة بتشريع أو بقانون أساسي."				
1605	communications	"The concept, science, technique and process of transmitting, receiving or otherwise exchanging information and data."	اتصالات	"مفهوم وعلم وأساليب وعمليات إرسال واستقبال المعلومات والبيانات المتبادلة، أو ما إلى ذلك."				
1613	ecological community	"1) All of the plants and animals in an area or volume; a complex association usually containing both animals and plants. 
2) Any naturally occurring group of organisms that occupy a common environment."	المجتمع الإيكولوجي	جميع النباتات والحيوانات الموجودة في منطقة أو وحدة حجوم معينة. ترابط معقد يحتوي عادة على حيوانات ونباتات. 2) أي مجموعة  من الكائنات تنشأ بصورة طبيعية وتحتل بيئة مشتركة.				
1616	Community law	"The law of European Community (as opposed to the national laws of the member states.) It consists of the treaties establishing the EC (together with subsequent amending treaties) community legislation, and decisions of the court of justice of the European Communities. Any provision of the treaties or of community legislation that is directly applicable or directly effective in a member state forms part of the law of that state and prevails over its national law in the event of any inconsistency between the two."	قانون الجماعة الأوروبية	قانون الجماعة الأوروبية (في مقابل القوانين الوطنية للدول الأعضاء). ويتألف من الاتفاقيات التي وضعها الجماعة الأوروبية (مع المعاهدات التالية المعدلة لها) وتشريعات الجماعة الأوروبية وقرارات محكمة العدل الدولية والمجتمعات الأوروبية. ويلاحظ أن أي أحكام ترد في معاهدات الجماعة الأوروبية أو تشريعاتها عندما تطبق مباشرة في دولة من الدول الأعضاء أو تسري عليها مباشرة فإنها تعتبر جزءا من قانون تلك الدولة ولها الأولوية على قانونها الوطني في حال ظهور أي تعارض بين الاثنين. 				
1618	community participation	"Involvement in public or private actions, as members or as a member of a particular ethnic, political or social group, with the purpose of exerting influence."	المشاركة المجتمعية	"الاشتراك في التحركات العامة أو الخاصة كعضو  فيها أو كعضو في جماعة عرقية أو سياسية أو اجتماعية معينة، بغرض بذل التأثير."				
1619	community-pays principle	"A tenet of environmental policy, according to which the costs of ecological challenges, environmental quality improvements and the removal of environmental hazards are allotted to community groups or local corporations and, thereby, to the general public."	مبدأ المجتمع يدفع	"سمة من سمات السياسة البيئية، تضع تكلفة التحديات الإيكولوجية وإجراءات تحسين جودة البيئة وإزالة المخاطر البيئية على عاتق فئات المجتمع المحلي أو الشركات التجارية المحلية ومن ثم الجمهور بصفة عامة."				
1622	commuter traffic	"Traffic caused by people travelling regularly over some distance, as between a suburb and a city and back, between their place of residence and their place of work."	انتقال المسافرين يوميًا للعمل	"حركة المواصلات الناجمة عن انتقال الناس بصفة منتظمة لمسافات معينة كما بين الضواحي والمدن ذهابا وإيابا، أو بين مقار العمل ومحل السكن."				
1623	commuting		السفر يوميًا للعمل					
1625	compaction	Reduction of the bulk of solid waste by rolling and tamping.	الضغط	تقليل حجم المخلفات الصلبة باستخدام الدحرجة أو الدك.				
1628	company policy	Official guidelines or set of guidelines adopted by a company for the management of its activity.	سياسة الشركة أو المؤسسة	مبادئ إرشادية رسمية أو مجموعة منها تعتمدها شركة ما لإدارة أنشطتها.				
1630	comparative law	The study of the principles of legal science by the comparison of various systems of law.	القانون المقارن	دراسة مبادئ العلوم القانونية بمقارنة نظم قانونية مختلفة.				
1631	comparative test	Tests conducted to determine whether one procedure is better than another.	اختبار مقارن	اختبارات تجرى لتحديد ما إذا كان إجراء معين أفضل من غيره أم لا.				
1632	comparison	"The placing together or juxtaposing of two or more items to ascertain, bring into relief, or establish their similarities and dissimilarities."	مقارنة	وضع شيئين جنبا إلى جنب أو مضاهاتهما للتأكد من أوجه الشبه والاختلاف بينهما أو إبرازها أو التعرف عليها.				
1633	compensation	"Equivalent in money for a loss sustained; equivalent given for property taken or for an injury done to another; recompense or reward for some loss, injury or service."	تعويض	مقدار من المال مقابل التعرض لفقد شيء ما. مقدار مساو لممتلكات أخذت أو إصابة حدثت لشخص آخر. تعويض أو مكافأة عن فقد أو إصابة أو خدمة ما.				
1636	compensatory measure	"Any administrative or legislative action, procedure or enactment designed to redress disruptions of ecological integrity or damage to the supply of natural resources."	إجراء تعويضي	اي إجراء أو فعل أو تصرف إداري أو تشريعي معد لعلاج خلل طال السلامة الإيكولوجية أو ضرر لحق بإمدادات الموارد الطبيعية. 				
1637	compensatory tax	Compulsory charge levied by a government for the purpose of redressing or countervailing economic disparity.	ضريبة تعويضية	رسم إجباري تفرضه الحكومة بغرض علاج التفاوت الاقتصادي أو معادلته.				
1638	competition (biological)	The simultaneous demand by two or more organisms or species for an essential common resource that is actually or potentially in limited supply.	تنافس (أحياء)	محاولة كائنين أو أكثر في نفس الوقت للظفر بمورد أساسي مشترك يتسم بأن إمداداته محدودة بالفعل أو يمكن أن تصبح محدودة.				
1639	economic competition	The market condition where an individual or firm that wants to buy or sell a commodity or service has a choice of possible suppliers or customers.	تنافس اقتصادي	ظروف السوق التي تتيح للفرد أو الشركة التي ترغب في شراء أو بيع سلعة أو خدمة الاختيار بين عدة موردين أو عملاء.				
1641	competitiveness	"The ability of a firm to strive in the market with rivals in the production and sale of commodities or services and, analogously, the ability of a country to maintain a relatively high standard of living for its citizens through trade in international markets."	التنافسية	"قدرة الشركة على مواجهة المنافسين في السوق في إنتاج السلع وبيعها، وبالمثل قدرة الدولة على الحفاظ على مستويات المعيشة مرتفعة نسبيا لمواطنيها من خلال التجارة في الأسواق الدولية."				
1645	complex formation	Formation of a complex compound. Also known as complexing or complexation.	التركيب	"تكوين مركب معقد. ويعرف أيضا بمصطلحي complexing وcomplexation، ولهما نفس المعنى."				
1646	complexing agent	A substance capable of forming a complex compound with another material in solution.	عامل مُركِب	مادة تستطيع تكوين مركب معقد مع مادة أخرى في محلول.				
1647	composite pollution	"Emissions of ozone-degrading gases (CFCs, halons); emissions of greenhouse gases (carbon dioxide, methane, CFCs, nitrous oxides, halons); emissions of acidifying gases (sulfur oxides, nitrogen oxides); emissions of substances that contribute to eutrophication (phosphate and nitrogen-containing materials); emissions of toxic materials (pesticides, radioactive substances, priority toxic substances); solid wastes returned to the environment."	تلوث مُرَكَّب	"انبعاثات الغازات التي تعمل على تآكل طبقة الأوزون (غازات الكلوروفلوروكربون والهالونات). انبعاثات غازات الاحتباس الحراري (ثاني أكسد الكربون، والميثين، وغازات الكلوروفلوروكربون، وأكاسيد النيتروز، والهالونات). انبعاثات غازات التحميض (أكاسيد الكبريت، وأكاسيد النيتروجين). انبعاثات المواد التي تسهم في عملية الإتخام (الفوسفات والمواد المحتوية على النيتروجين). انبعاثات المواد السامة (مبيدات الآفات والمواد المشعة والمواد السامة ذات الأولوية). المخلفات الصلبة المعادة إلى البيئة. "				
1649	compost	A mixture of decaying organic matter used to fertilize and condition the soil.	سماد عضوي	مزيج من المادة العضوية المتحللة يستخدم لتسميد وتعديل خواص التربة.				
1651	compostable waste	Waste consisting largely of biodegradable organic matter.	مخلفات عضوية	مخلفات تتألف في أغلبها من مواد عضوية قابلة للتحلل الحيوي.				
1652	composting	"The natural biological decomposition of organic material in the presence of air to form a humus-like material. Controlled methods of composting include mechanical mixing and aerating, ventilating the materials by dropping them through a vertical series of aerated chambers, or placing the compost in piles out in the open air and mixing it or turning it periodically."	تصنيع السماد العضوي	"التحلل البيولوجي الطبيعي للمادة العضوية في وجود الهواء لتصير مادة شبيهة بالدبال. وتتضمن الأساليب المنظمة لصنع السماد العضوي الخلط الميكانيكي والتهوية الميكانيكية، وتهوية المواد بإسقاطها من خلال سلسلة رأسية من الغرف المهواة، أو وضع السماد في أكوام في الهواء الطلق وخلطها أو تقليبها بصورة دورية."				
1653	composting by producer	No definition needed.	تصنيع السماد العضوي بواسطة المنتٍج	لا يحتاج إلى تعريف.				
1659	compression	Reduction in the volume of a substance due to pressure.	الضغط	تقليل حجم مادة ما بسبب الضغط.				
1660	compressor	"A mechanical device a) to provide the desired pressure for chemical and physical reactions, b) to control boiling points of fluids, as in gas separation, refrigeration, and evaporation, c) to evacuate enclosed volumes, d) to transport gases or vapors, e) to store compressible fluids as gases or liquids under pressure and assist in recovering them from storage or tank cars, and f) to convert mechanical energy to fluid energy for operating instruments, air agitation, fluidization, solid transport, blowcases, air tools, and motors."	كمبرسور (ضغَّاط)	"جهاز ميكانيكي أ) لتوفير الضغط المطلوب للتفاعلات الكيماوية أو الفيزيائية، ب) للتحكم في درجة غليان الموائع، كما في فصل الغازات والتبريد والتبخير، ج) لتفريغ الحجوم المغلقة من الهواء، د) لنقل الغازات أو الأبخرة، هـ) لتخزين الموائع القابلة للانضغاط في صورة سوائل أو غازات تحت ضغط والمساعدة في استعادتها من عربات أو صهاريج التخزين، و) لتحويل الطاقة الميكانيكية إلى طاقة هيدروليكية لتشغيل المعدات مثل ضخ الهواء وتسييل الموائع والنقل الصلب واسطوانات الضغط والأدوات التي تعمل بضغ الهواء والمحركات."				
1663	compulsory use		استخدام إجباري					
1669	European Communities	"The collective body that resulted in 1967 from the merger of the administrative networks of the European Atomic Energy Community (EURATOM), the European Coal and Steel Community (ECSC), and the European Economic Community (EEC). The singular term has also been widely used."	الجماعة الأوروبية	"الهيئة الجمعية التي نتجت عام 1967 عن اندماج الشبكات الإدارية لكل من الجماعة الأوروبية للطاقة الذرية، والجماعة الأوروبية للفحم والصلب، والجماعة الاقتصادية الأوروبية. ويستعمل المصطلح بالصيغة المفردة على نطاق واسع."				
1673	concentration (value)	"In solutions, the mass, volume, or number of moles of solute present in proportion to the amount of solvent or total solution."	تركيز (قيمة)	في المحاليل يشير المصطلح إلى كتلة أو حجم أو عدد الأوزان الجزيئية الجرامية للمادة المذابة بالنسبة إلى كمية المذيب أو المحلول الكلي.				
1674	concentration (process)	The process of increasing the quantity of a component in a solution. The opposite of dilution.	تركيز (عملية)	عملية زيادة كمية المكون الموجود في المحلول. وهي العكس من التخفيف.				
1677	concrete	"A mixture of aggregate, water, and a binder, usually Portland cement; it hardens to stonelike condition when dry."	خرسانة	"مزيج من الركام والماء ومادة رابطة، عادة ما تكون أسمنت البورتلاند، يصبح صلبا كالصخر عندما يجف."				
1679	concrete products industry	No definition needed.	صناعة المنتجات الخرسانية	لا يحتاج إلى تعريف.				
1681	condensation (process)	Transformation from a gas to a liquid.	تكثيف (عملية)	التحويل من غاز إلى سائل.				
1686	conductivity	The ratio of the electric current density to the electric field in a material. Also known as electrical conductivity.	قابلية التوصيل	نسبة كثافة التيار الكهربي إلى الحقل الكهربي في مادة ما. كما يعرف أيضا بالقابلية للتوصيل الكهربي.				
1688	conflicting use		استخدام متناقض					
1689	conflict of aims		تناقض الأهداف					
1690	conflict of interests	Clash between public interest and the private pecuniary interest of the individual concerned. A situation in which regard for one duty tends to lead to disregard of another.	تضارب المصالح	تعارض بين المصلحة العامة والمصلحة المالية الشخصية للفرد المقصود. وضع يميل فيه الانتصار لواجب معين إلى إهمال واجب آخر.				
1691	congress	"A formal meeting, often consisting of representatives of various organizations, that is assembled to promote, discuss or make arrangements regarding a particular subject or some matter of common interest."	مؤتمر	"اجتماع رسمي يتألف في كثير من الأحيان من ممثلي مؤسسات مختلفة، يعقد لتعزيز أو بحث أو إعداد ترتيبات بخصوص موضوع معين أو شأن من شئون المصالح المشتركة."				
1692	conifer	"An order of conebearing plants which includes nearly all the present day Gymnospermae. Most are tall evergreen trees with needle-like (e.g., pines), linear (e.g. firs) or scale-like (e.g., cedars) leaves. They are characteristic of temperate zones and the main forest trees of colder regions. They provide timber, resins, tars, turpentine and pulp for paper."	الصنوبر	رتبة من النباتات المخروطية تشتمل تقريبا على كل عاريات البذور الموجودة اليوم. معظمها أشجار طويلة دائمة الخضرة ذات أوراق أبرية (كالصنوبر) أو خطية (كالتنوب) أو تشبة القشور (كالأرز). تنمو بصورة مميزة في المناطق المعتدلة وتمثل الأشجار الأساسية في غابات المناطق الباردة. تعد مصدرا للخشب والصمغ والقطران والتربنتين واللباب الذي يستخدم لصنع الورق.				
